Date,Lamp,Mobile,Laptop,Total KWh
08-10-2021,0.05,0.03,0.48,0.56
09-10-2021,0.02,0.03,0.36,0.41
10-10-2021,0.04,0.03,0.3,0.37
11-10-2021,0.08,0.02,0.42,0.52
12-10-2021,0.02,0.02,0.24,0.28
13-10-2021,0.05,0.04,0.48,0.57
14-10-2021,0.06,0.01,0.6,0.67
15-10-2021,0.07,0.01,0.72,0.8
16-10-2021,0.02,0.02,0.66,0.7
17-10-2021,0.03,0.03,0.48,0.54
18-10-2021,0.05,0.03,0.36,0.44
19-10-2021,0.01,0.04,0.42,0.47
20-10-2021,0.02,0.04,0.3,0.36
21-10-2021,0.05,0.01,0.3,0.36
22-10-2021,0.07,0.01,0.3,0.38
23-10-2021,0.06,0.02,0.42,0.5
24-10-2021,0.08,0.03,0.36,0.47
25-10-2021,0.09,0.02,0.54,0.65
26-10-2021,0.1,0.02,0.36,0.48
27-10-2021,0.04,0.04,0.3,0.38
28-10-2021,0.03,0.04,0.42,0.49
29-10-2021,0.05,0.04,0.39,0.48
30-10-2021,0.02,0.04,0.33,0.39
31-10-2021,0.01,0.02,0.45,0.48
01-11-2021,0.06,0.01,0.27,0.34
02-11-2021,0.07,0.04,0.24,0.35
03-11-2021,0.03,0.01,0.51,0.55
04-11-2021,0.04,0.01,0.42,0.47
05-11-2021,0.12,0.04,0.39,0.55
06-11-2021,0.11,0.04,0.33,0.48
07-11-2021,0.03,0.02,0.3,0.35
08-11-2021,0.05,0.02,0.36,0.43
09-11-2021,0.07,0.02,0.3,0.39
10-11-2021,0.04,0.02,0.45,0.51
11-11-2021,0.03,0.02,0.48,0.53
12-11-2021,0.05,0.02,0.48,0.55
13-11-2021,0.07,0.03,0.48,0.58
14-11-2021,0.11,0.03,0.33,0.47
15-11-2021,0.1,0.03,0.3,0.43
16-11-2021,0.09,0.03,0.3,0.42
17-11-2021,0.04,0.01,0.54,0.59
18-11-2021,0.05,0.01,0.48,0.54
19-11-2021,0.02,0.02,0.6,0.64
20-11-2021,0.06,0.02,0.66,0.74
21-11-2021,0.06,0.2,0.63,0.89
22-11-2021,0.02,0.05,0.54,0.61
23-11-2021,0.09,0.03,0.42,0.54
24-11-2021,0.12,0.04,0.39,0.55
25-11-2021,0.03,0.05,0.24,0.32
26-11-2021,0.05,0.05,0.18,0.28
27-11-2021,0.07,0.02,0.18,0.27
28-11-2021,0.08,0.05,0.32,0.45
29-11-2021,0.05,0.02,0.36,0.43
30-11-2021,0.03,0.01,0.48,0.52
01-12-2021,0.02,0.01,0.51,0.54
02-12-2021,0.08,0.01,0.12,0.21
03-12-2021,0.07,0.02,0.54,0.63
04-12-2021,0.05,0.03,0.48,0.56
